"","X","Y"
"1879.730793_2930.950073",1879.730793,2930.950073
"1879.730793_3030.950073",1879.730793,3030.950073
"1879.730793_3130.950073",1879.730793,3130.950073
"1879.730793_3230.950073",1879.730793,3230.950073
"1879.730793_3330.950073",1879.730793,3330.950073
"1879.730793_3430.950073",1879.730793,3430.950073
"1879.730793_3530.950073",1879.730793,3530.950073
"1879.730793_3630.950073",1879.730793,3630.950073
"1879.730793_3730.950073",1879.730793,3730.950073
"1879.730793_3830.950073",1879.730793,3830.950073
"1879.730793_3930.950073",1879.730793,3930.950073
"1879.730793_4030.950073",1879.730793,4030.950073
"1879.730793_4230.950073",1879.730793,4230.950073
"1979.730793_2730.950073",1979.730793,2730.950073
"1979.730793_2830.950073",1979.730793,2830.950073
"1979.730793_2930.950073",1979.730793,2930.950073
"1979.730793_3030.950073",1979.730793,3030.950073
"1979.730793_3130.950073",1979.730793,3130.950073
"1979.730793_3230.950073",1979.730793,3230.950073
"1979.730793_3330.950073",1979.730793,3330.950073
"1979.730793_3430.950073",1979.730793,3430.950073
"1979.730793_3530.950073",1979.730793,3530.950073
"1979.730793_3630.950073",1979.730793,3630.950073
"1979.730793_3730.950073",1979.730793,3730.950073
"1979.730793_3830.950073",1979.730793,3830.950073
"1979.730793_3930.950073",1979.730793,3930.950073
"1979.730793_4230.950073",1979.730793,4230.950073
"2079.730793_2730.950073",2079.730793,2730.950073
"2079.730793_2830.950073",2079.730793,2830.950073
"2079.730793_2930.950073",2079.730793,2930.950073
"2079.730793_3030.950073",2079.730793,3030.950073
"2079.730793_3130.950073",2079.730793,3130.950073
"2079.730793_3230.950073",2079.730793,3230.950073
"2079.730793_3330.950073",2079.730793,3330.950073
"2079.730793_3430.950073",2079.730793,3430.950073
"2079.730793_3530.950073",2079.730793,3530.950073
"2079.730793_3630.950073",2079.730793,3630.950073
"2079.730793_3730.950073",2079.730793,3730.950073
"2079.730793_3830.950073",2079.730793,3830.950073
"2079.730793_3930.950073",2079.730793,3930.950073
"2079.730793_4030.950073",2079.730793,4030.950073
"2079.730793_4130.950073",2079.730793,4130.950073
"2079.730793_4230.950073",2079.730793,4230.950073
"2179.730793_2730.950073",2179.730793,2730.950073
"2179.730793_2830.950073",2179.730793,2830.950073
